date,top10,top10_pctile_3y,top10_pctile_10y
20211123,0.546576,0.510288,0.76214
20211124,0.547691,0.51989,0.766667
20211125,0.528206,0.292181,0.644033
20211126,0.52875,0.296296,0.647737
20211129,0.539497,0.423868,0.714815
20211130,0.51867,0.186557,0.579012
20211201,0.520477,0.208505,0.590947
20211202,0.517577,0.182442,0.574897
20211203,0.545433,0.496571,0.753498
20211206,0.539389,0.421125,0.71358
20211207,0.552815,0.550069,0.7893
20211208,0.55986,0.602195,0.816872
20211209,0.561096,0.611797,0.822634
20211210,0.559789,0.599451,0.816049
20211213,0.566138,0.651578,0.841564
20211214,0.527644,0.264746,0.633745
20211215,0.521646,0.207133,0.59465
20211216,0.520755,0.200274,0.589712
20211217,0.520533,0.196159,0.587654
20211220,0.523609,0.223594,0.605761
20211221,0.495165,0.057613,0.442387
20211222,0.490893,0.048011,0.423457
20211223,0.514886,0.144033,0.554321
20211224,0.519742,0.185185,0.580658
20211227,0.515533,0.145405,0.555967
20211228,0.533075,0.318244,0.664198
20211229,0.523817,0.224966,0.605761
20211230,0.507341,0.09465,0.511111
20211231,0.512847,0.127572,0.540329
20220104,0.501073,0.082305,0.478601
20220105,0.508979,0.102881,0.51893
20220106,0.516943,0.161866,0.562963
20220107,0.498741,0.076818,0.462963
20220110,0.509985,0.112483,0.524691
20220111,0.504196,0.089163,0.494239
20220112,0.515786,0.14952,0.555967
20220113,0.507758,0.098765,0.511934
20220114,0.500447,0.083676,0.472428
20220117,0.499452,0.078189,0.465844
20220118,0.503977,0.090535,0.493827
20220119,0.519504,0.187929,0.579835
20220120,0.512547,0.133059,0.540329
20220121,0.529684,0.297668,0.650206
20220124,0.539659,0.42524,0.716049
20220125,0.499456,0.079561,0.466255
20220126,0.537685,0.396433,0.704115
20220127,0.538531,0.406036,0.707819
20220128,0.552093,0.537723,0.786008
20220207,0.535079,0.358025,0.681481
20220208,0.544015,0.477366,0.743621
20220209,0.535878,0.367627,0.687654
20220210,0.560314,0.603567,0.818519
20220211,0.557417,0.58299,0.80823
20220214,0.559819,0.596708,0.815638
20220215,0.559149,0.592593,0.814403
20220216,0.535069,0.351166,0.678601
20220217,0.543393,0.462277,0.737037
20220218,0.5368,0.37037,0.691358
20220221,0.524021,0.230453,0.604527
20220222,0.540094,0.421125,0.716461
20220223,0.53971,0.414266,0.713169
20220224,0.505123,0.087791,0.493827
20220225,0.535745,0.353909,0.682305
20220228,0.538931,0.399177,0.705761
20220301,0.556713,0.573388,0.804527
20220302,0.537976,0.384088,0.699588
20220303,0.526274,0.241427,0.618519
20220304,0.525337,0.231824,0.612346
20220307,0.541903,0.443073,0.729218
20220308,0.541975,0.444444,0.72963
20220309,0.531683,0.282579,0.64856
20220310,0.552917,0.537723,0.786831
20220311,0.548118,0.506173,0.763786
20220314,0.555182,0.561043,0.797942
