轮次,因子,分类,公式,含义,IC,IC_IR,Top组年化,市场年化,超额年化,回撤,Sharpe,Calmar,判定
Round3,ix_amt_turnmc,交叉,rank(amt_log20)*rank(turnmc20),小成交额 x 低换手,0.0608,0.3903,0.0414,0.0895,-0.054,-0.4224,,-0.1277,超额为负
Round3,ix_amt_mom20,交叉,rank(amt_log20)*rank(mom20),小成交额 x 动量,0.0146,0.1034,0.0414,0.0895,-0.0543,-0.3789,,-0.1434,|IC|<0.02
Round3,mfnet_cons20,资金流,"mean(MFN>0,20)",净流入为正天数占比,0.0091,0.1113,0.0402,0.0945,-0.0568,-0.4213,,-0.1348,|IC|<0.02
Round3,mix_amt_rev,交叉,0.5*rank(amt_log20)+0.5*rank(rev_5d),小成交额与反转等权,0.0568,0.4687,0.0205,0.0895,-0.0682,-0.4846,,-0.1407,超额为负
Round3,mfnet60,资金流,"mean(MFN,60)",净流入(60日),0.0069,0.0653,0.0257,0.0953,-0.0685,-0.5072,,-0.1351,|IC|<0.02
Round3,turnmc20,流动性,"-log(mean(TR,20)+1e-8)",低换手率(20日),0.0654,0.3945,0.0244,0.0895,-0.0738,-0.526,,-0.1404,超额为负
Round3,ln_mktcap,市值,-log(MC),小市值(对数总市值),-0.1289,-0.7823,0.0018,0.0895,-0.0749,-0.5836,,-0.1283,超额为负
Round3,mf_net_trd,资金流,"delta(mean(MFN,10),10)",净流入趋势,0.0046,0.0548,0.0189,0.0954,-0.075,-0.5113,,-0.1468,|IC|<0.02
Round3,amt_log20,流动性,"-log(mean(AMT,20)+1)",小成交额(20日),0.0632,0.3789,0.0228,0.0895,-0.0755,-0.5322,,-0.1418,超额为负
Round3,amt_log,流动性,"-log(mean(AMT,20)+1)",小成交额(20日均),0.0632,0.3789,0.0228,0.0895,-0.0755,-0.5322,,-0.1418,超额为负
Round3,vol_ratio,波动,"-std(ret,20)/std(ret,60)",短期波动相对长期(低=波动收敛),0.0278,0.322,0.0064,0.0895,-0.0758,-0.5043,,-0.1503,超额为负
